page,rank,name,price,spec
1,인기 순위29,삼성전자 노트북5 NT500R5Y-GD7A,999000원 / 1289000원 / 1461000원 / 1220000원 / 1214000원 / 1360000원 / 1367000원,인텔 / 코어i7-8세대 / 카비레이크-R / i7-8550U 1.8GHz(4GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 눈부심방지 / 광시야각 / 8GB / DDR4 / M.2 / 256GB / 지포스 MX150 / 2GB GDDR5 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.1 / HDMI / 웹캠 / USB 2.0 / USB 3.0 / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 43Wh / 리눅스 / 20.85mm / 1.86Kg / 색상: 블랙
1,인기 순위30,LG전자 2017 울트라PC 15UD370-LX1TK,375000원 / 524000원 / 545000원 / 638000원,인텔 / 셀러론 / 아폴로레이크 / N3450 (1.10 GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1366x768 / 4GB / DDR3L / M.2 / 128GB / HD Graphics / 시스템메모리공유 / 유선랜 / 802.11 n/ac 무선랜 / HDMI / 웹캠 / USB 2.0 / USB 3.0 / 숫자 키패드 / 블록 키보드 / 운영체제 미포함 / 19mm / 1.65Kg / 색상: 실버
2,순위없음,APPLE 맥북프로 2017년형 MPXV2KH/A,1821000원,인텔 / 코어i5-7세대 / 카비레이크 / i5-7267U 3.1GHz(3.5GHz) / 듀얼 코어 / 33.78cm(13.3인치) / 2560x1600 / 광시야각 / 베젤없음 / 8GB / LPDDR3 / SSD / 256GB / Iris Plus 650 / 시스템메모리공유 / 802.11 n/ac 무선랜 / 블루투스 4.2 / 웹캠 / USB 3.1 Type-C / 썬더볼트 / 블록 키보드 / 키보드 라이트 / Mac OS Sierra / 14.9mm / 1.37Kg / 색상: 그레이 / 2017년형 레티나 맥북프로 / 터치 바 장착
2,순위없음,LG전자 2018 그램 15ZD980-GX76K,1529000원 / 1674000원 / 1748000원 / 1787000원 / 2012000원 / 2034000원 / 2377000원,인텔 / 코어i7-8세대 / 카비레이크-R / i7-8550U 1.8GHz(4GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 슬림형 베젤 / 광시야각(IPS) / 8GB / DDR4 / M.2 / 256GB / UHD 620 / 시스템메모리공유 / 1Gbps 유선랜(젠더 별도) / 802.11 n/ac 무선랜 / 블루투스 있음 / HDMI / 웹캠 / USB 3.0 / USB Type-C / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 키보드 라이트 / 지문 인식 / 72Wh / 운영체제 미포함 / 16.8mm / 1.09Kg / 색상: 화이트
2,순위없음,LG전자 2017 울트라PC 15UD470-GX38K,634000원 / 693000원 / 814000원 / 955000원 / 675000원 / 685000원 / 764000원,인텔 / 코어i3-7세대 / 카비레이크 / i3-7100U (2.4GHz) / 듀얼 코어 / 39.62cm(15.6인치) / 1920x1080 / 광시야각(IPS) / 8GB / DDR4 / SSD / 128GB / HD 620 / 시스템메모리공유 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 있음 / HDMI / 웹캠 / USB 2.0 / USB 3.0 / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 운영체제 미포함 / 20.9mm / 1.89Kg / 색상: 화이트
2,순위없음,삼성전자 노트북3 NT300E4S-KD1S,295000원 / 383000원 / 429000원 / 565000원 / 835000원 / 388000원 / 430000원 / 589000원,인텔 / 셀러론 / 카비레이크 / 3865U (1.8GHz) / 듀얼 코어 / 35.56cm(14인치) / 1366x768 / 4GB / DDR4 / 500GB / HD 610 / 시스템메모리공유 / 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.1 / HDMI / 웹캠 / USB 2.0 / USB 3.0 / 블록 키보드 / 43Wh / 리눅스 / 19.98mm / 1.65Kg / 색상: 실버
2,순위없음,삼성전자 노트북5 NT500R5W-LD31A,629000원 / 834000원 / 835000원 / 966000원,인텔 / 코어i3-7세대 / 카비레이크 / i3-7100U (2.4GHz) / 듀얼 코어 / 39.62cm(15.6인치) / 1920x1080 / 눈부심방지 / 광시야각 / 8GB / DDR4 / M.2 / 128GB / HD 620 / 시스템메모리공유 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.1 / HDMI / 웹캠 / USB 2.0 / USB 3.0 / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 43Wh / 리눅스 / 20.8mm / 1.86Kg / 색상 : 화이트
2,순위없음,LG전자 2018 울트라PC GT 15U780-PA76K,1533000원,인텔 / 코어i7-8세대 / 카비레이크-R / i7-8550U 1.8GHz(4GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 광시야각(IPS) / 8GB / DDR4 / M.2 / 256GB / 지포스 GTX1050 / 4GB / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 있음 / HDMI / 웹캠 / USB 2.0 / USB 3.0 / USB Type-C / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 키보드 라이트 / 60Wh / 윈도우10 / 19.9mm / 1.9Kg / 색상 : 블랙
2,순위없음,LG전자 2018 그램 14ZD980-MX30K,1026000원 / 1244000원 / 1284000원 / 1419000원 / 1404000원 / 1603000원 / 1613000원 / 1983000원,인텔 / 코어i3-7세대 / 카비레이크 / i3-7100U (2.4GHz) / 듀얼 코어 / 35.56cm(14인치) / 1920x1080 / 슬림형 베젤 / 광시야각(IPS) / 8GB / DDR4 / M.2 / 128GB / HD 620 / 시스템메모리공유 / 1Gbps 유선랜(젠더 별도) / 802.11 n/ac 무선랜 / 블루투스 있음 / HDMI / 웹캠 / USB 3.0 / USB Type-C / 멀티 리더기 / 블록 키보드 / 키보드 라이트 / 지문 인식 / 72Wh / 운영체제 미포함 / 16.5mm / 995g / 색상: 화이트
2,순위없음,MSI GS63 7RD Stealth,1049000원,인텔 / 코어i7-7세대 / 카비레이크 / i7-7700HQ 2.8GHz(3.8GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 눈부심방지 / 광시야각 / 8GB / DDR4 / M.2 / 256GB / 지포스 GTX1050 / 2GB GDDR5 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.2 / HDMI / mini DP / 웹캠 / USB 2.0 / USB 3.0 / USB 3.1 Type-C / 썬더볼트 / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / RGB 라이트 / 트리플모니터 / 65Whr / 운영체제 미포함 / 17.7mm / 1.8Kg
